ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
4206.00.00,42,,no,si,2022-10-04,2023-12-27
4303.10.00,43,,no,si,2022-10-04,2023-12-27
4303.90.00,43,,no,si,2022-10-04,2023-12-27
4304.00.00,43,,no,si,2022-10-04,2023-12-27
4409.21.00,44,,si,si,2022-08-25,2023-12-27
4409.22.00,44,,si,si,2022-08-25,2023-12-27
4409.29.00,44,,si,si,2022-08-25,2023-12-27
4410.11.10,44,,si,si,2022-08-25,2023-12-27
4410.11.21,44,,si,si,2022-08-25,2023-12-27
4410.11.29,44,,si,si,2022-08-25,2023-12-27
4411.12.10,44,,si,si,2022-08-25,2023-12-27
4411.13.10,44,,si,si,2022-08-25,2023-12-27
4411.13.91,44,,si,si,2022-08-25,2023-12-27
4411.13.99,44,,si,si,2022-08-25,2023-12-27
4411.14.10,44,,si,si,2022-08-25,2023-12-27
4411.14.90,44,,si,si,2022-08-25,2023-12-27
4411.92.90,44,,si,si,2022-08-25,2023-12-27
4412.31.00,44,,si,si,2022-08-25,2023-12-27
4412.33.00,44,,si,si,2022-08-25,2023-12-27
4412.34.00,44,,si,si,2022-08-25,2023-12-27
4412.39.00,44,,si,si,2022-08-25,2023-12-27
4414.00.00,44,,no,si,2022-10-04,2023-12-27
4415.10.00,44,,no,si,2022-10-04,2023-12-27
4415.20.00,44,,no,si,2022-10-04,2023-12-27
4416.00.10,44,,no,si,2022-10-04,2023-12-27
4416.00.90,44,,no,si,2022-10-04,2023-12-27
4417.00.10,44,,no,si,2022-10-04,2023-12-27
4417.00.20,44,,no,si,2022-10-04,2023-12-27
4417.00.90,44,,no,si,2022-10-04,2023-12-27
4418.10.00,44,,no,si,2022-10-04,2023-12-27
4418.20.00,44,,si,si,2022-08-25,2023-12-27
4418.40.00,44,,no,si,2022-10-04,2023-12-27
4418.50.00,44,,no,si,2022-10-04,2023-12-27
4418.60.00,44,,no,si,2022-10-04,2023-12-27
4418.73.00,44,,no,si,2022-10-04,2023-12-27
4418.74.00,44,,no,si,2022-10-04,2023-12-27
4418.75.00,44,,si,si,2022-08-25,2023-12-27
4418.79.00,44,,no,si,2022-10-04,2023-12-27
4418.91.00,44,,no,si,2022-10-04,2023-12-27
4418.99.00,44,,no,si,2022-10-04,2023-12-27
4419.11.00,44,,no,si,2022-10-04,2023-12-27
4419.12.00,44,,no,si,2022-10-04,2023-12-27
4419.19.00,44,,no,si,2022-10-04,2023-12-27
4419.90.00,44,,no,si,2022-10-04,2023-12-27
4420.10.00,44,,no,si,2022-10-04,2023-12-27
4420.90.00,44,,no,si,2022-10-04,2023-12-27
4421.10.00,44,,no,si,2022-10-04,2023-12-27
4421.91.00,44,,no,si,2022-10-04,2023-12-27
4421.99.00,44,,no,si,2022-10-04,2023-12-27
4703.21.00,47,,si,si,2022-08-25,2023-12-27
4801.00.20,48,,no,si,2022-10-04,2023-12-27
4801.00.30,48,,no,si,2022-10-04,2023-12-27
4801.00.90,48,,no,si,2022-10-04,2023-12-27
4802.10.00,48,,no,si,2022-10-04,2023-12-27
4802.20.10,48,,no,si,2022-10-04,2023-12-27
4802.20.90,48,,no,si,2022-10-04,2023-12-27
4802.40.10,48,,no,si,2022-10-04,2023-12-27
4802.40.90,48,,no,si,2022-10-04,2023-12-27
4802.54.10,48,,no,si,2022-10-04,2023-12-27
4802.54.91,48,,no,si,2022-10-04,2023-12-27
4802.54.99,48,,no,si,2022-10-04,2023-12-27
4802.55.10,48,,no,si,2022-10-04,2023-12-27
4802.55.91,48,,no,si,2022-10-04,2023-12-27
4802.55.92,48,,si,si,2022-08-25,2023-12-27
4802.55.99,48,,si,si,2022-08-25,2023-12-27
4802.56.10,48,,si,si,2022-08-25,2023-12-27
4802.56.91,48,,no,si,2022-10-04,2023-12-27
4802.56.92,48,,no,si,2022-10-04,2023-12-27
4802.56.93,48,,no,si,2022-10-04,2023-12-27
4802.56.99,48,,no,si,2022-10-04,2023-12-27
4802.57.10,48,,no,si,2022-10-04,2023-12-27
4802.57.91,48,,no,si,2022-10-04,2023-12-27
4802.57.92,48,,no,si,2022-10-04,2023-12-27
4802.57.93,48,,si,si,2022-08-25,2023-12-27
